BS.pilon.polished.v3.ST170922	Bacillus subtilis
33908	Cryptococcus neoformans
35764	Cryptococcus neoformans
35632	Cryptococcus neoformans
31310	Cryptococcus neoformans
34832	Cryptococcus neoformans
35001	Cryptococcus neoformans
34042	Cryptococcus neoformans
35113	Cryptococcus neoformans
34843	Cryptococcus neoformans
29610	Cryptococcus neoformans
35186	Cryptococcus neoformans
30525	Cryptococcus neoformans
35666	Cryptococcus neoformans
33962	Cryptococcus neoformans
31321	Cryptococcus neoformans
35715	Cryptococcus neoformans
34037	Cryptococcus neoformans
35568	Cryptococcus neoformans
34180	Cryptococcus neoformans
34594	Cryptococcus neoformans
34204	Cryptococcus neoformans
33892	Cryptococcus neoformans
35470	Cryptococcus neoformans
34858	Cryptococcus neoformans
35154	Cryptococcus neoformans
35163	Cryptococcus neoformans
35111	Cryptococcus neoformans
35262	Cryptococcus neoformans
33907	Cryptococcus neoformans
35107	Cryptococcus neoformans
33841	Cryptococcus neoformans
34691	Cryptococcus neoformans
35267	Cryptococcus neoformans
30613	Cryptococcus neoformans
